2026-07-01 11:47:07 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 14:24:53 | INFO     | trading_bot | Args: symbol=BTCUSDT side=BUY type=MARKET quantity=0.01 price=None
2026-07-01 14:25:29 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 14:25:29 | INFO     | trading_bot | Args: symbol=BTCUSDT side=SELL type=LIMIT quantity=0.01 price=65000
2026-07-01 14:26:08 | INFO     | trading_bot | === Trading bot CLI started ===
2026-07-01 14:26:08 | INFO     | trading_bot | Args: symbol=ETHUSDT side=BUY type=MARKET quantity=0.5 price=None
2026-07-01 14:27:05 | INFO     | trading_bot | Placing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': 'N/A (market order)'}
2026-07-01 14:27:05 | INFO     | trading_bot | REQUEST POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782896225221, 'recvWindow': 5000}
2026-07-01 14:27:05 | DEBUG    | trading_bot | Full request params (incl. signature): {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'timestamp': 1782896225221, 'recvWindow': 5000, 'signature': 'cda699f4c2e5fb64f47ec4db72a6bd3576b1e6f479244138313eb0420cdba5fb'}
2026-07-01 14:27:05 | INFO     | trading_bot | RESPONSE POST /fapi/v1/order status=200 body={"orderId": 100001, "symbol": "BTCUSDT", "status": "FILLED", "side": "BUY", "type": "MARKET", "executedQty": "0.01", "origQty": "0.01", "avgPrice": "60123.50", "price": "60123.50", "updateTime": 1782896225218}
2026-07-01 14:27:05 | INFO     | trading_bot | Order placed successfully: orderId=100001 status=FILLED
2026-07-01 14:27:05 | INFO     | trading_bot | Placing order: {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.5, 'price': 3200.0}
2026-07-01 14:27:05 | INFO     | trading_bot | REQUEST POST /fapi/v1/order params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.5, 'price': 3200.0, 'timeInForce': 'GTC', 'timestamp': 1782896225227, 'recvWindow': 5000}
2026-07-01 14:27:05 | DEBUG    | trading_bot | Full request params (incl. signature): {'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': 0.5, 'price': 3200.0, 'timeInForce': 'GTC', 'timestamp': 1782896225227, 'recvWindow': 5000, 'signature': '862f811b46d45fbe491a19d3378aa9b9e23defeebad5ba9c51441ce48ca1baf2'}
2026-07-01 14:27:05 | INFO     | trading_bot | RESPONSE POST /fapi/v1/order status=200 body={"orderId": 100002, "symbol": "ETHUSDT", "status": "NEW", "side": "SELL", "type": "LIMIT", "executedQty": "0", "origQty": "0.5", "avgPrice": "0.00", "price": "3200.00", "updateTime": 1782896225226}
2026-07-01 14:27:05 | INFO     | trading_bot | Order placed successfully: orderId=100002 status=NEW
